Date,Open,High,Low,Close,Volume,ticker
2012/5/14,151.58,152.03,151,151.33,13383430,GLD
2012/5/15,151.16,151.44,149.63,149.74,13349680,GLD
2012/5/16,149.48,150.7,148.6,149.46,16737270,GLD
2012/5/17,150.83,153.4,150.38,152.8,18063400,GLD
2012/5/18,154.46,155.13,153.97,154.55,12991210,GLD
2012/5/21,154.11,154.95,153.86,154.65,7524820,GLD
2012/5/22,153.59,154.42,151.55,152.08,11298320,GLD
2012/5/23,151.5,151.8401,148.84,151.62,18841630,GLD
2012/5/24,152.71,152.91,150.62,151.41,9696915,GLD
2012/5/25,151.89,152.85,151.63,152.68,6209616,GLD
2012/5/29,153.47,153.62,150.25,151.02,11238990,GLD
2012/5/30,149.74,152.38,148.53,151.91,16763440,GLD
2012/5/31,152.028,152.71,150.62,151.62,10113850,GLD
2012/6/1,155.41,158.31,154.87,157.5,27396910,GLD
2012/6/4,157.26,157.44,156.16,157.32,11454270,GLD
2012/6/5,156.92,157.27,156.42,157.14,8080944,GLD
2012/6/6,158.9,159.2,156.59,157.21,15751320,GLD
2012/6/7,157.82,157.84,153.19,154.5,18913620,GLD
2012/6/8,153.02,154.83,153,154.73,11074600,GLD
2012/6/11,154.83,155.4,153.55,155.36,9131220,GLD
2012/6/12,155.49,157.04,155.45,156.4594,13240240,GLD
2012/6/13,157.61,157.65,156.42,157.12,10109190,GLD
2012/6/14,157.64,157.94,156.24,157.75,11502160,GLD
2012/6/15,157.75,158.46,157.42,157.84,13096330,GLD
2012/6/18,157.46,158.21,156.54,157.93,6729928,GLD
2012/6/19,158,158.14,156.97,157.16,6944845,GLD
2012/6/20,156,157.37,154.26,155.97,16970000,GLD
2012/6/21,153.73,154.2299,151.8,152.015,14442930,GLD
2012/6/22,152.04,152.7,151.21,152.64,6754870,GLD
2012/6/25,152.58,154.16,152.25,153.76,6183214,GLD
2012/6/26,153.03,153.3,152.13,152.62,6120964,GLD
2012/6/27,153.3,153.45,152.15,152.83,4840649,GLD
2012/6/28,151.9,152.16,150.15,151.05,8749181,GLD
2012/6/29,155.13,155.95,154.52,155.19,10377990,GLD
2012/7/2,154.67,155.55,154.341,155.09,3654132,GLD
2012/7/3,156.97,157.72,156.77,157.46,5037638,GLD
